aidtype_label_en,donor,donor_label_en,recipient,recipient_label_en,obs_time,obs_value,powercode_label_en,datatype_label_en
ODA: Total Net,1,Austria,10001,"Africa, Total",2020,106.8,Millions,Current Prices
ODA: Total Net,10,Sweden,10001,"Africa, Total",2020,1178.32,Millions,Current Prices
ODA: Total Net,11,Switzerland,10001,"Africa, Total",2020,637.09,Millions,Current Prices
ODA: Total Net,12,United Kingdom,10001,"Africa, Total",2020,3347.11,Millions,Current Prices
ODA: Total Net,18,Finland,10001,"Africa, Total",2020,244.52,Millions,Current Prices
ODA: Total Net,2,Belgium,10001,"Africa, Total",2020,464.1,Millions,Current Prices
ODA: Total Net,20,Iceland,10001,"Africa, Total",2020,17.83,Millions,Current Prices
ODA: Total Net,21,Ireland,10001,"Africa, Total",2020,267.96,Millions,Current Prices
ODA: Total Net,22,Luxembourg,10001,"Africa, Total",2020,149.7,Millions,Current Prices
ODA: Total Net,3,Denmark,10001,"Africa, Total",2020,570.84,Millions,Current Prices
ODA: Total Net,301,Canada,10001,"Africa, Total",2020,1341.33,Millions,Current Prices
ODA: Total Net,302,United States,10001,"Africa, Total",2020,11417.93,Millions,Current Prices
ODA: Total Net,4,France,10001,"Africa, Total",2020,4267.37,Millions,Current Prices
ODA: Total Net,40,Greece,10001,"Africa, Total",2020,0.05,Millions,Current Prices
ODA: Total Net,5,Germany,10001,"Africa, Total",2020,5843.87,Millions,Current Prices
ODA: Total Net,50,Spain,10001,"Africa, Total",2020,85.57,Millions,Current Prices
ODA: Total Net,6,Italy,10001,"Africa, Total",2020,455.73,Millions,Current Prices
ODA: Total Net,61,Slovenia,10001,"Africa, Total",2020,0.3,Millions,Current Prices
ODA: Total Net,68,Czech Republic,10001,"Africa, Total",2020,14.27,Millions,Current Prices
ODA: Total Net,69,Slovak Republic,10001,"Africa, Total",2020,2.92,Millions,Current Prices
ODA: Total Net,7,Netherlands,10001,"Africa, Total",2020,745.03,Millions,Current Prices
ODA: Total Net,701,Japan,10001,"Africa, Total",2020,1248.72,Millions,Current Prices
ODA: Total Net,742,Korea,10001,"Africa, Total",2020,437.64,Millions,Current Prices
ODA: Total Net,75,Hungary,10001,"Africa, Total",2020,22.25,Millions,Current Prices
ODA: Total Net,76,Poland,10001,"Africa, Total",2020,18.95,Millions,Current Prices
ODA: Total Net,8,Norway,10001,"Africa, Total",2020,749.24,Millions,Current Prices
ODA: Total Net,801,Australia,10001,"Africa, Total",2020,56.32,Millions,Current Prices
ODA: Total Net,820,New Zealand,10001,"Africa, Total",2020,11.29,Millions,Current Prices
ODA: Total Net,9,Portugal,10001,"Africa, Total",2020,66.21,Millions,Current Prices
ODA: Total Net,820,New Zealand,10002,"North of Sahara, Total",2020,0.23,Millions,Current Prices
ODA: Total Net,9,Portugal,10002,"North of Sahara, Total",2020,0.73,Millions,Current Prices
ODA: Total Net,801,Australia,10002,"North of Sahara, Total",2020,0.09,Millions,Current Prices
ODA: Total Net,8,Norway,10002,"North of Sahara, Total",2020,12.69,Millions,Current Prices
ODA: Total Net,76,Poland,10002,"North of Sahara, Total",2020,1.14,Millions,Current Prices
ODA: Total Net,75,Hungary,10002,"North of Sahara, Total",2020,9.91,Millions,Current Prices
ODA: Total Net,742,Korea,10002,"North of Sahara, Total",2020,18.74,Millions,Current Prices
ODA: Total Net,701,Japan,10002,"North of Sahara, Total",2020,49.97,Millions,Current Prices
ODA: Total Net,7,Netherlands,10002,"North of Sahara, Total",2020,17.23,Millions,Current Prices
ODA: Total Net,61,Slovenia,10002,"North of Sahara, Total",2020,0.05,Millions,Current Prices
ODA: Total Net,68,Czech Republic,10002,"North of Sahara, Total",2020,1.1,Millions,Current Prices
ODA: Total Net,6,Italy,10002,"North of Sahara, Total",2020,139.18,Millions,Current Prices
ODA: Total Net,75,Hungary,10003,"South of Sahara, Total",2020,12.34,Millions,Current Prices
ODA: Total Net,76,Poland,10003,"South of Sahara, Total",2020,17.75,Millions,Current Prices
ODA: Total Net,8,Norway,10003,"South of Sahara, Total",2020,694.01,Millions,Current Prices
ODA: Total Net,801,Australia,10003,"South of Sahara, Total",2020,51.9,Millions,Current Prices
ODA: Total Net,9,Portugal,10003,"South of Sahara, Total",2020,65.37,Millions,Current Prices
ODA: Total Net,820,New Zealand,10003,"South of Sahara, Total",2020,10.22,Millions,Current Prices
ODA: Total Net,820,New Zealand,10004,"America, Total",2020,4.05,Millions,Current Prices
ODA: Total Net,9,Portugal,10004,"America, Total",2020,10.85,Millions,Current Prices
ODA: Total Net,801,Australia,10004,"America, Total",2020,2.49,Millions,Current Prices
ODA: Total Net,76,Poland,10004,"America, Total",2020,2.01,Millions,Current Prices
ODA: Total Net,8,Norway,10004,"America, Total",2020,121.33,Millions,Current Prices
ODA: Total Net,742,Korea,10004,"America, Total",2020,170.25,Millions,Current Prices
ODA: Total Net,75,Hungary,10004,"America, Total",2020,7.52,Millions,Current Prices
ODA: Total Net,7,Netherlands,10004,"America, Total",2020,12.74,Millions,Current Prices
ODA: Total Net,701,Japan,10004,"America, Total",2020,380.46,Millions,Current Prices
ODA: Total Net,69,Slovak Republic,10004,"America, Total",2020,0.01,Millions,Current Prices
ODA: Total Net,68,Czech Republic,10004,"America, Total",2020,1.08,Millions,Current Prices
ODA: Total Net,50,Spain,10004,"America, Total",2020,347.9,Millions,Current Prices
ODA: Total Net,6,Italy,10004,"America, Total",2020,167.88,Millions,Current Prices
ODA: Total Net,61,Slovenia,10004,"America, Total",2020,0.1,Millions,Current Prices
ODA: Total Net,5,Germany,10004,"America, Total",2020,1462.99,Millions,Current Prices
ODA: Total Net,40,Greece,10004,"America, Total",2020,0.04,Millions,Current Prices
ODA: Total Net,4,France,10004,"America, Total",2020,1421.7,Millions,Current Prices
ODA: Total Net,302,United States,10004,"America, Total",2020,2175.14,Millions,Current Prices
ODA: Total Net,301,Canada,10004,"America, Total",2020,552.03,Millions,Current Prices
ODA: Total Net,3,Denmark,10004,"America, Total",2020,5.18,Millions,Current Prices
ODA: Total Net,22,Luxembourg,10004,"America, Total",2020,13.42,Millions,Current Prices
ODA: Total Net,21,Ireland,10004,"America, Total",2020,13.06,Millions,Current Prices
ODA: Total Net,20,Iceland,10004,"America, Total",2020,0.31,Millions,Current Prices
ODA: Total Net,18,Finland,10004,"America, Total",2020,6.11,Millions,Current Prices
ODA: Total Net,2,Belgium,10004,"America, Total",2020,50.42,Millions,Current Prices
ODA: Total Net,12,United Kingdom,10004,"America, Total",2020,349.16,Millions,Current Prices
ODA: Total Net,11,Switzerland,10004,"America, Total",2020,223.17,Millions,Current Prices
ODA: Total Net,1,Austria,10004,"America, Total",2020,36.11,Millions,Current Prices
ODA: Total Net,10,Sweden,10004,"America, Total",2020,126.11,Millions,Current Prices
ODA: Total Net,10,Sweden,10005,"Caribbean & Central America, Total",2020,47.21,Millions,Current Prices
ODA: Total Net,1,Austria,10005,"Caribbean & Central America, Total",2020,25.33,Millions,Current Prices
ODA: Total Net,11,Switzerland,10005,"Caribbean & Central America, Total",2020,101.6,Millions,Current Prices
ODA: Total Net,12,United Kingdom,10005,"Caribbean & Central America, Total",2020,138.92,Millions,Current Prices
ODA: Total Net,18,Finland,10005,"Caribbean & Central America, Total",2020,2.67,Millions,Current Prices
ODA: Total Net,6,Italy,10006,"South America, Total",2020,28.8,Millions,Current Prices
ODA: Total Net,61,Slovenia,10006,"South America, Total",2020,0.01,Millions,Current Prices
ODA: Total Net,40,Greece,10006,"South America, Total",2020,0.04,Millions,Current Prices
ODA: Total Net,4,France,10006,"South America, Total",2020,689.54,Millions,Current Prices
ODA: Total Net,302,United States,10006,"South America, Total",2020,943.88,Millions,Current Prices
ODA: Total Net,301,Canada,10006,"South America, Total",2020,141.54,Millions,Current Prices
ODA: Total Net,3,Denmark,10006,"South America, Total",2020,2.75,Millions,Current Prices
ODA: Total Net,22,Luxembourg,10006,"South America, Total",2020,4.33,Millions,Current Prices
ODA: Total Net,21,Ireland,10006,"South America, Total",2020,6.14,Millions,Current Prices
ODA: Total Net,2,Belgium,10006,"South America, Total",2020,29.75,Millions,Current Prices
